"S.
No.",Detail of Gifts,Name of Recipient,Date,"Assessed
Value","Retention
cost",Remarks
102,One   box   containing ladies suit,First lady of Pakistan,6/20/2022,"Rs.5,000/-",Free of cost,Retained
103,"a.  One W/watch
b.  One locket (zyros)
c.  One         W/watch (zyros)",Rear  Admiral  Shiffat  Ali  Khan  of Pak Navy,6/21/2022,"a.  Rs.15,000/-
b.  Rs.10,000/-
c.  Rs.15,000/-","Rs.5,000/-","Amount deposited,
gift retained"
104,"One w/watch
(Rolex  and  Daytona) 1992      winner      24",Rear  Admiral  Shiffat  Ali  Khan  of Pak Navy,6/21/2022,In process,In process,In process
,(copy),,,,,
105,Three footballs,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",6/23/2022,"15,000/-",Free of cost,Retained
106,One surahi,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",6/23/2022,"Rs.22,000/-",Free of cost,Retained
107,"a.  One model of door of Khana Kaaba
b.  One                box
containing Chogha","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",6/23/2022,"a.  Rs.20,000/-
b.  Rs.15,000/-
Total: - Rs.35,000/-",-,Deposited in Toshakhana
108,"a.  One    Gun    (duly framed)
b.  One carpet","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",6/23/2022,"a. Antique
b. In process",-,"Sr.No.(a) Deposited in Toshakhana
Sr.No.(b) In process"
109,One Rug,"Secretary, Petroleum Division",6/23/2022,"Rs.25,000/-",-,"Deposited
in Toshakhana"
110,Souvenir     (damaged gift item),"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",6/23/2022,"Rs.8,000/-",-,Deposited in Toshakhana
111,One   box   containing souvenir,"Dr. Arif Alvi, President of Pakistan",6/24/2022,"Rs.10,413/-",Free of cost,Retained
112,"One    painting    duly framed               (blue
covering)","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",6/28/2022,"Rs.12,000/-",Free of cost,Retained
113,"a.  One vase
b.  One     model     of orange Train","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",6/30/2022,"a. Rs.22,000/-
b. Rs.10,000/-",Free of cost,Retained
114,"a.  One honey
b.  Bhutan herbal tea
c.  Jam","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",6/30/2022,"a. Rs.1,000/-
b. Rs.3,000/-
c. Rs.600/-",Free of cost,Retained
115,One   decorated   clay plate & one bowl,"Dr. Arif Alvi, President of Pakistan",7/4/2022,"Rs.60,000/-","Rs.15,000/-","Amount deposited,
gift retained"
116,"a.  One Honey
b.  One           Bhutan Herbal tea
c.  One Jam","Dr. Arif Alvi, President of Pakistan",7/4/2022,"a.  Rs.1,000/-
b.  Rs.3,000/-
c.  Rs.600/- Total: -
Rs.4,600/-",Free of cost,Retained
117,One Sheaffer fountain Pen,Attorney General for Pakistan,7/4/2022,"Rs.4,200/-",Free of cost,In process
118,"One   box   containing white  porcelain  vase with   butterfly  orchid
pattern","Mr.     Bilawal     Bhutto     Zardari, Minister for Foreign Affairs",7/4/2022,"Rs.22,000/-",Free of cost,Retained
119,One          embroidery galloping horse,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",7/5/2022,"Rs.55,000/-",-,Deposited in Toshakhana
120,"a.  One power bank
b.  One diary
c.  One pen
d.  One key chain
e.  One calendar
f.   Pair of airpods","Dr. Arif Alvi, President of Pakistan",7/5/2022,"a.  Rs.5,000/-
b.  Rs.500/-
c.  Rs.1,500/-
d.  Rs.600/-
e.  NCV
f.   Rs.5,000/-",Free of cost,Retained
121,"a.  One               vase (Persian) (White & Blue) (large)
b.  One   vase   (Blue) (Persian) (small)","Mr.     Bilawal     Bhutto     Zardari, Minister for Foreign Affairs",7/5/2022,"a.  Rs.22,000/-
b.  Rs.22,000/-
Total: - Rs.44,000/-","Rs.7,000/-",In Process
122,"One     wrist     watch
Movado    Model    No. 6024G","Dr. Arif Alvi, President of Pakistan",7/7/2022,"Rs.75,000/-",-,"Deposited
in Toshakhana"
123,"a.  One mug
b.  One cap
c.  One diary
d.  One usb","Dr. Arif Alvi, President of Pakistan",7/7/2022,"a.  Rs.500/-
b.  Rs.500/-
c.  Rs.300/-
d.  Rs.1000/-",Free of cost,Retained
124,One   W/watch   Rolex (M126333-0017) (No.327AJ791),"Mr.     Bilawal     Bhutto     Zardari, Minister for Foreign Affairs",7/15/2022,"Rs.3,750,000/-",-,Deposited in Toshakhana
125,One   W/watch   Rolex,"Khawaja Muhammad Asif, Defence",7/15/2022,"Rs.3,800,000/-",-,Displayed
,No.RO352J37 (M126333-0018),Minister,,,,at Prime Minister House
126,One              W/watch Victorinox,"Head  Constable  M.  Saghir,  Prime Minister Office",7/15/2022,"Rs.100,000/-","Rs.35,000/-","Amount deposited, gift
retained"
127,One W/watch Hanowa,"Constable     Haider     Ali,     Police gunman, Prime Minister Office",7/15/2022,"Rs.75,000/-","Rs.22,500/","Amount deposited, gift
retained"
128,"One model of Muqam
-e-Ibrahim","Minister     for     SAFFRON,     Mr. Muhammad Talha Mahmood",7/21/2022,"Rs.35,000/-","Rs.2,500/-",In Process
129,"One tea cup, one key chain,   one   diary   & one pen","Mr.              Abdul              Jabbar, DG (SWO)",7/21/2022,"Rs.1,500/-",-,Deposited in Toshakhana
130,One  glass  plate  with stand,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",7/25/2022,"Rs.3,000/-",Free of cost,Retained
131,One ceramic bowl,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",7/25/2022,"Rs.20,000/-",Free of cost,Retained
132,"a.  One  vase  of  Blue Lapis Stone
b.  One Rug
c.  Two   shields   Blue Lapis Stone","Secretary, Commerce",7/25/2022,"a.  Rs.120,000/
-
b.  Rs.10,000/-
c.  Rs.25,000/-
(each)","Rs.75,000/-",In process
133,"a.  One          wooden model of Loa-Bird
b.  One braid bracelet
c.  One    book   titled Pure Iceland","Dr. Arif Alvi, President of Pakistan",7/28/2022,"a.  Rs.10,000/-
b.  Rs.1,000/-
c.  NCV",Free of cost,Retained
134,"One   box   containing
TCL        Sweeva2000 Cleaning Robot","Mr.   Bilal   Akram   Shah,   Director (China) MOFA",7/29/2022,"Rs.33,000/-",-,"Deposited
in Toshakhana"
135,"One   box   containing TCL        Sweeva2000
Cleaning Robot","Mr.    Muneeb    Ahmed,    Director (CPEC) MOFA",7/29/2022,"Rs.33,000/-",-,"Deposited in
Toshakhana"
136,"a. One Flower Vase
b.    One    Picture    of Horse (duly framed)","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",7/30/2022,"Rs.77,000/-",-,"Sr.No.(a) displayed at Prime Minister house
Sr.No.(b) deposited in
Toshakhana"
137,One   Vase   (Blue   & White color),"Mr.     Bilawal     Bhutto     Zardari, Minister for Foreign Affairs",8/10/2022,"Rs.22,000/-",Free of cost,Retained
138,One model of cow,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",8/17/2022,"Rs.8,000/-",Free of cost,Retained
139,One surahi,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",8/17/2022,"Rs.25,000/-",Free of cost,Retained
140,One wall hanging,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",8/17/2022,"15,000/-",Free of cost,Retained
141,One gift box (deer),Foreign Secretary,8/18/2022,In process,In process,In process
142,One bowl,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",8/29/2022,"Rs.70,000/-",-,"Displayed at Prime Minister
House"
143,One    Dagger    (duly framed),"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",8/29/2022,"Rs.50,000/-",-,"Deposited in
Toshakhana"
144,One Model of stadium,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",8/30/2022,"Rs.15,000/-",Free of cost,Retained
145,One  Table  Clock  with model of horse,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",8/30/2022,"Rs.60,000/-",-,"Displayed at Prime Minister
House"
146,"One booklet, one card holder,  one  coat  pin","Dr. Arif Alvi, President of Pakistan",8/31/2022,"Rs.10,000/-",Free of cost,Retained
,"with  pen,  decoration piece & four books",,,,,
147,One    Ladies    Beauty Items,First Lady of Pakistan,8/31/2022,"Rs.60,000/-",-,"Deposited in
Toshakhana"
148,"a.  One  wooden  wall hanging
b.  One          wooden souvenir
c.  One carved knife","Mr.   Ali   Haider   Altaf,   Chief   of protocol",9/3/2022,"a.  Rs.20,000/-
b.  Rs.5,000/-
c.  Rs.8,000/-","Rs.1,500/-","Amount deposited, gift retained"
149,One Souvenir,"Dr. Arif Alvi, President of Pakistan",9/6/2022,"Rs.2,000/-",Free of cost,Retained
150,One surahi with plate,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",9/7/2022,"Rs.22,000/-",Free of cost,Retained
151,One ceramic plate (shield),"Dr. Arif Alvi, President of Pakistan",9/14/2022,"Rs.2,000/-",Free of cost,Retained
152,"a.  One model of lock
b.  Key    of    Baab-e-
Kaaba
c.  One tasbeeh","Ms.     Shaza     Fatima     Khawaja, Special   Assistant   to   the   Prime Minister on youth affairs",9/15/2022,"a.  Rs.10,000/-
b.  In process
c.  NCV",-,In process
153,"a.  Two          metallic Persian vase
b.  Two           Persian metallic         table
cloth","Ms.     Shaza     Fatima     Khawaja, Special   Assistant   to   the   Prime Minister on Youth Affairs",9/15/2022,"a.  Rs.17,000/-
b.  Rs.12,000/-",Free of cost,Retained
154,"a.  One wooden plate
b.  One wooden chess","Khawaja Muhammad Asif, Defence Minister",9/20/2022,"a.  Rs.5,000/-
b.  Rs.21,000/-",Free of cost,Retained
155,One shield,"Dr. Arif Alvi, President of Pakistan",9/20/2022,"Rs.10,000/-",Free of cost,Retained
156,One  coffee  cup  with plate,"Mr.   Muhammad   Ahad,   Deputy Secretary (CF-I)",9/20/2022,"Rs.4,000/-",Free of cost,Retained
157,Onyx Plate,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",9/29/2022,"Rs.2,200/-",Free of cost,Retained
158,Tea set (16 pcs),"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",9/29/2022,"Rs.70,000/-",-,"Deposited
in Toshakhana"
159,a.  One wooden chess,Military   Secretary   to   the   Prime,9/29/2022,"a.  Rs.21,000/-",Free of cost,Retained
,b.  One souvenir,Minister,,"b.  Rs.5,000/-",,
160,"a.  One wooden chess
b.  One souvenir","SP   Mahzoor   Ali   Ghauri,   Chief Security Officer to Prime Minister",9/29/2022,"a.  Rs.21,000/-
b.  Rs.5,000/-",Free of cost,Retained
161,"a. 24k   gold   plated stand.
b. 24k gold premium still water.
c. Handmade   carpet silk  carpet  natural dyes size 2x3m
d. One bag with pen
e. One      Chocolate/ Dessert
f. Engraved Silver/Gold  plated pen
g. Framed picture.
h. Set of nine books.
i.  Set of four books","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",9/29/2022,"a.  Rs.5,000/-
b.  Rs.50,000/-
c.  Rs.110,000/
-
d.  Rs.250,000/
-
e.  Rs.10,000/-
f.   Rs.1,114,00
0/-
g.  NCV
h.  Rs.18,000/-
i.   Rs.8,000/-",-,"Sr.No.(a,b,f
) displayed at Prime Minister House
Sr.No.(c) in process
Sr.No.(d,e, g,h,i) deposited in Toshakhana"
162,Metallic        Sculpture Horse,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",9/29/2022,"Rs.28,000/-",Free of cost,Retained
163,"a.  Chocolate        and Honey
b.  Honey Jar","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",9/29/2022,"a.  Rs.12,000/-
b.  Rs.10,000/-",Free of cost,Retained
164,Books      of      Uzbek products,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",9/29/2022,"Rs.33,000/-","Rs.1,500/-","Amount deposited, gift
retained"
165,"a.  Painting
b.  Chocolate Box","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",9/29/2022,"a.  Rs.28,000/-
b.  Rs.10,000/-",-,"Deposited
in Toshakhana"
166,24k Silver/Gold plated vase,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",9/29/2022,"Rs.400,000/-","Rs.185,000/-","Displayed at Prime Minister
House"
167,One model of ship,"Dr. Arif Alvi, President of Pakistan",9/30/2022,"Rs.270,000/-",-,"Deposited
in Toshakhana"
168,One   box   containing Painting,"Dr. Arif Alvi, President of Pakistan",10/10/2022,"Rs.60,000/-","Rs.15,000/-","Amount deposited, gift
retained"
169,One   Model  of   Clock Tower,"Dr. Arif Alvi, President of Pakistan",10/10/2022,"Rs.6,000/-",Free of cost,Retained
170,Tea set (5 pieces),"Mr.     Bilawal     Bhutto     Zardari, Minister for Foreign Affairs",10/12/2022,"Rs.285,000/-",-,Deposited in Toshakhana
171,One Onyx Plate.,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",10/18/2022,"Rs.12,000/-",Free of cost,Retained
172,One Model of Door of Khana Kaaba,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",10/18/2022,"Rs.35,000/-",-,"Displayed at Prime Minister
House"
173,"a.  Wooden Shield
b.  Souvenir","Khawaja Muhammad Asif, Defence Minister",10/18/2022,,,In process
174,One  Calligraphy  duly framed,"SP   Mahzoor   Ali   Ghauri,   Chief Security   Officer   to   the   Prime Minister",10/20/2022,"Rs.42,000/-","Rs.6,000/-","Amount deposited, gift
retained"
175,"a. Torsyk    Set    with silver Tray
b. Book
c. Book
d. Book
e. One Insignia.
f. One Insignia.","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",10/20/2022,"a.  Rs.60,000/-
b.  Rs.3,000/-
c.  Rs.3,000/-
d.  Rs.3,000/-
e.  Rs.8,000/-
f.   Rs.8,000/-",-,"S.No.(a)
displayed at Prime Minister House
S.No.(b-f) deposited in
Toshakhana"
176,One    Carved    wood panel,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",10/20/2022,"Rs.50,000/-",-,"Deposited in
Toshakhana"
177,"a.  One Book
b.  One Book
c.  One Insignia","Ms. Marriyum Aurangzeb, Minister of Information",10/24/2022,"a.  Rs.3,000/-
b.  Rs.3,000/-
c.  Rs.3,000/-",Free of cost,In process
178,"a.  One   Mont   Blanc Brief Case
b.  One   Mont   Blanc Pen.
c.  One   Mont   Blanc Note Book","Mr.     Bilawal     Bhutto     Zardari, Minister for Foreign Affairs",10/24/2022,"a.  Rs.160,000/
-
b.  Rs.250,000/
-
c.  Rs.24,000/-",-,Deposited in Toshakhana
179,"a.  One carved knife
b.  One wooden box
c.  One          wooden souvenir","Col. Babar Mumtaz, Chief Security Officer to Foreign Minister",11/1/2022,,,In process
180,"a.  Two Shawl
b.  One Cap
c.  One Key chain.
d.  One Wallet","Dr. Arif Alvi, President of Pakistan",11/15/2022,,,In process
181,One Calligraphy,"Dr. Arif Alvi, President of Pakistan",11/18/2022,,,In process
182,One Scarf,Military Secretary to the President,11/18/2022,,,In process
183,"a.  One ladies suit.
b.  One gents suit","Dr. Arif Alvi, President of Pakistan",11/22/2022,,,In process
184,"a.  Oud candle
b.  One Shawl
c.  One scarf
d.  One booklet","Dr. Arif Alvi, President of Pakistan",11/22/2022,,,In process
185,"a.  One        Magnetic Suspension Bluetooth speaker
b.  One frame
c.  An    imitation    of ancient         small screen
d.  One Scenery","Dr. Arif Alvi, President of Pakistan",11/25/2022,,,In process
186,One      Rifle      G3A3 bearing No.J-76392,"Dr. Arif Alvi, President of Pakistan",11/25/2022,,,In process
187,"a.  One           painted Cloisonned Vessel
b.  Four books
c.  Music CD","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",11/29/2022,,,In process
188,"a.  One        Qianyuan vase
b.  One tea box","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",11/29/2022,,,In process
189,"a.  One tea set
b.  One tea box","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",11/29/2022,,,In process
190,One Huawei Mate Pad,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",11/29/2022,,,In process
191,One   Huawei   Watch GT2,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",11/29/2022,,,In process
192,One Vase,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",11/29/2022,,,In process
193,"a.  One   Model   with Axe of PN Khaibar
b.  One Shield
c.  Model   of   second ship    of    Turkish OPV","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",11/29/2022,,,In process
194,One Gokyuzu (Mirror),"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",11/29/2022,,,In process
195,One     Tutya     Damla Picture,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",11/29/2022,,,In process
196,One  gun  MP-5  (Gold Plated),"Dr. Arif Alvi, President of Pakistan",12/2/2022,,,In process
197,One leather Hand Bag,"Brig.    Shahryar    Munir    Hafiez, Military Secretary to the President",12/2/2022,,,In process
198,"a.  One Wallet
b.  One Key chain
c.  One Belt","Lt. Cdr Faizan Haider, ADC to the President",12/2/2022,,,In process
199,"a.  One Gent suit
b.  One ladies suit",Military Secretary to the President,12/7/2022,,,In process
200,One Pair of Cufflinks,"Dr. Arif Alvi, President of Pakistan",12/12/2022,,,In process
201,One Souvenir,"Dr. Arif Alvi, President of Pakistan",12/13/2022,,,In process
202,One Souvenir,Military Secretary to the President,12/13/2022,,,In process
203,One Souvenir Watch,"Secretary,      National      Security Division",12/14/2022,,,In process
204,One Shield,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",12/15/2022,,,In process
205,One Onyx Shield,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",12/15/2022,,,In process
206,One Onyx Box Small,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",12/15/2022,,,In process
207,One Table Decor,"Khawaja Muhammad Asif, Defence Minister",12/16/2022,,,In process
208,One decoration Piece,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",12/19/2022,,,In process
209,Two Traditional suits,"Dr. Arif Alvi, President of Pakistan",12/21/2022,,,In process
210,One Tea Set,"Dr. Arif Alvi, President of Pakistan",12/21/2022,,,In process
211,"a.  One ladies suit
b.  One   ladies   hand bag
c.  One perfume",First Lady of Pakistan,12/21/2022,,,In process
212,Two clay pot,First Lady of Pakistan,12/21/2022,,,In process
213,"a.  One Perfume
b.  One Nail Polish
c.  One Lip crayon","Brig.    Shahryar    Munir    Hafiez, Military Secretary to the President",12/21/2022,,,In process
214,"a.  One Perfume
b.  One Nail Polish
c.  One Lip Crayon","Lt. Cdr Faizan Haider, ADC to the President",12/21/2022,,,In process
215,"a.  Two Perfume
b.  Two Pens","Dr. Arif Alvi, President of Pakistan",12/21/2022,,,In process
216,One Shawl,"Dr. Arif Alvi, President of Pakistan",12/22/2022,,,In process
217,Crockery 11 pcs,Secretary Power Division,12/23/2022,,,In process
218,Crockery 11 pcs,"Secretary,        Industries        and Production",12/27/2022,,,In process
219,a.  One  Wrist  Watch,"Mr. Murad Ashraf Janjua, Ex-Chief",12/27/2022,,,In process
,"(Cartier)
b.  One        W/Watch Chopard",of Protocol,,,,
220,One W/Watch Rolex,"Mr. Murad Ashraf Janjua, Ex-Chief of Protocol",12/27/2022,,,In process
221,"a.  One Book
b.  One Scarf
c.  One      Decoration Piece","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",12/28/2022,,,In process
222,One Wall Hanging,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",12/28/2022,,,In process
223,One Diary Set,"Dr. Arif Alvi, President of Pakistan",12/29/2022,,,In process
224,One Wool Carpet (150 cm x 270cm),"Dr. Arif Alvi, President of Pakistan",12/29/2022,,,In process
1,"a.  One   wood   carving handmade   table   in oriental style
b.  Two   wood   carving
handmade  chairs  in oriental style","Mr.       Abdul       Razzak Dawood,  Advisor  to  the Prime       Minister       on Commerce & Investment",1/4/2021,"Rs.45,000/-","Rs.7,500/-","Amount deposited, gift retained"
2,One carpet,"Mr.  Imran  Khan,  Prime Minister of Pakistan",1/13/2021,"Rs.32,000/-","Rs.1,000/-","Amount deposited, gift retained"
3,One vase (Black),"SAPM for National Health services    Regulation    &
Coordination",1/19/2021,"Rs.50,000/-",-,Deposited in Toshakhana
4,"One Vase
(Traditional      Chinese ornament)","Secretary,            PD&SI
“Planning,   Development & Special Initiative”",1/20/2021,"Rs.10,000/-",-,Deposited in Toshakhana
5,One Tea set,"Mr.      Murad      Saeed, Federal     Minister     for
communications",2/1/2021,"Rs.5,000/-",-,Deposited in Toshakhana
6,One carpet,"Mr.  Imran  Khan,  Prime Minister of Pakistan",2/22/2021,"Rs.22,000/-",Free of cost,Retained
7,One Bowl,"Dr. Arif Alvi, President of Pakistan",2/23/2021,Rs.8000/-,Free of cost,Retained
